"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"6955_3",114,47007689,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007712,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007789,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007688,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007711,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007788,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007687,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007710,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007787,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007686,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007709,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007786,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007685,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007708,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007785,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007684,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007732,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007784,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007683,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007731,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007783,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007682,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007730,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007782,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007681,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007729,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007781,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007680,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007728,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007780,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007679,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007727,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007779,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007678,"Stadionstraße","",1,,938,1,0
